state_idx,cos_sim,mean_A,mean_g_norm_sq,v_unbiased_norm,v_intentional_norm
246,0.7192746034555453,0.057372222730163375,224710.806796875,1.8016903400421143,1.1000809536199085e-05
247,0.9907858979313806,-0.0019433306403226483,131664.6092138672,0.32296890020370483,2.4387775283685187e-06
248,0.9581633063804805,-0.0077103648451718985,100170.46516601562,0.3871265947818756,4.136821644351585e-06
249,0.5897626651566246,-0.01486148447486376,113175.60668652343,0.19589701294898987,2.5020306111400714e-06
250,0.8675919653529408,-0.007726852372233614,121981.81950878906,0.19954103231430054,1.73156490745896e-06
251,0.8303797225242241,0.026601645918761064,136336.08632421875,0.5230238437652588,4.64635695607285e-06
252,0.9368372174799775,0.0160868626362858,124357.60314453125,0.5450986623764038,5.275726380205015e-06
253,0.7559078473279153,-0.02694520364892477,122934.62922558594,0.3940902352333069,4.9124892029794864e-06
254,0.6191324813671405,-0.014356635596349566,129711.84921484375,0.2025427669286728,2.348585894651478e-06
255,0.9836496555773703,0.003532121595707144,204609.70274414064,0.41161367297172546,2.348731413803762e-06
256,0.9844891280795406,0.0019487355571874763,235882.87465429687,0.46100807189941406,2.0104475879634265e-06
257,0.9340656615117209,0.009942106233763752,254314.13921875,0.6545486450195312,3.329148057673592e-06
258,0.9571691950952785,0.012871822258568488,302639.33896875,2.974046230316162,9.832624527916778e-06
259,0.4965973043991513,0.03194327890759262,170126.94144140626,0.6323245763778687,7.0049795795057435e-06
260,0.5706383916404174,-0.025328833110383413,96351.92213964844,0.19152626395225525,6.0457377912825905e-06
261,0.97886558070548,-0.0011003025630092317,91319.95218847656,0.2282312661409378,2.428231709927786e-06
262,0.6347205971280695,0.047349595485591194,115891.46368164063,0.35819509625434875,6.870343895570841e-06
263,0.997409356509823,-0.0021645378391682898,128965.48542578125,0.42770424485206604,3.072420440730639e-06
264,0.9924012010233604,0.0022761963583910957,129861.39021875,0.39635953307151794,2.9441819151543314e-06
265,0.9957177486122621,0.0015811064035869693,147181.15451171875,0.3832559287548065,2.531985501263989e-06
266,0.5581863570630338,-0.01685732589321727,159501.26876367186,0.18057559430599213,1.8085722786054248e-06
267,0.9783262696636646,0.006701471748489352,207382.23212695314,0.5208879113197327,2.583308514658711e-06
268,0.8382225508868091,0.0339857315026163,261725.61946289064,1.1374170780181885,4.896087830275064e-06
269,0.8128363981749827,0.02003168894004149,260686.93413671874,1.5041909217834473,4.914156761515187e-06
270,0.9769706642854147,0.0005232857276028913,222560.9895859375,0.9786788821220398,4.805069238500437e-06
271,0.6980581295835505,-0.026861830714660667,228042.715515625,0.5155981183052063,3.999413820565678e-06
272,0.9968906402638193,0.000740356337139243,121387.05355175781,0.3562675714492798,2.9985185392433777e-06
273,0.7161632785182676,0.024357210915861394,127827.27427246094,0.35719865560531616,4.499428996496135e-06
274,0.9304080613762682,0.006796583966732739,148307.19270898437,0.29349109530448914,2.1155040030862438e-06
275,0.9910543097216612,-0.0016094871311368671,170566.79839550782,0.5727762579917908,3.347397523612017e-06
276,0.9964242536856748,-0.00010667367178847797,195138.79140429688,0.6081486940383911,3.301296146673849e-06
277,0.9151518335578106,0.006296215420848352,275552.01826171874,0.3298649489879608,1.4107127981333178e-06
278,0.9622620046544375,0.010064551707265475,319971.5214863281,1.0136195421218872,3.333645281600184e-06
279,0.8911671542809987,0.004241862277046405,222971.82616210938,0.8929870128631592,4.555958184937481e-06
280,0.5690656621458489,0.02725125385286578,206478.57096875,0.6457469463348389,4.576048468152294e-06
